NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
3840,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,MIO S,1600000,29,2
3842,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3500000,35,2
3843,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3400000,23,2
3846,GUNUNGHALU,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION KS SE,2900000,23,2
3847,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3500000,17,2
3848,CIKANDE,SAGULING,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3500000,29,2
3849,BONGAS,CILILIN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5700000,29,2
3850,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2400000,23,2
3851,CAMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,2200000,23,2
3852,CEMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,R15,5100000,23,2
3854,KARANGANYAR,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CW ESP,2500000,17,2
3857,MARGAJAYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6225000,17,2
3859,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,SCOOPY ESP,2100000,17,2
3860,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,9225000,17,2
3862,BUNIJAYA,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA R - KR 150 L,4000000,23,2
3864,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NMAX ABS,5700000,17,2
3865,PANGAUBAN,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,5600000,29,2
3867,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,5200000,29,2
3869,CEMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CBS FI,1900000,23,2
3870,SUKAMANAH,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,CB 150 R,4500000,17,2
3872,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,11300000,23,2
3873,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,ALL NEW X-RIDE 125,8225000,23,2
3874,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,5900000,17,2
3875,MEKARSARI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2200000,23,2
3877,CIHAMPELAS,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,10800000,17,2
3878,CIMANGGU,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,KLX 150 BF,5200000,35,2
3879,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEWVARIOTECHNOCBS FI,6025000,17,2
3881,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,10000000,17,2
3882,PAKUHAJI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW CBR 150R STANDAR,3100000,17,2
3883,KARANGTANJUNG,CILILIN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,FREEGO,4500000,17,2
3885,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,3400000,17,2
3886,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3200000,17,2
3887,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,4400000,23,2
3888,RENDE,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,8100000,17,2
3889,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,X - RIDE,2791602,24,2
3892,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,3400000,17,2
3893,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2500000,23,2
3899,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,NEW MIO M3 CW,2050000,23,2
3901,CEMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,R15,4100000,17,2
3903,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,9000000,35,2
3904,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2900000,17,2
3905,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,6000000,17,2
3908,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,6190135,15,2
3910,BAROS,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2900000,23,2
3911,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2600000,17,2
