NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
978,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,XMAX,12600000,35,2
979,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,2600000,35,1
980,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33,2
981,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5300000,33,2
982,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,KAWASAKI,W175 TR SE,11200000,33,2
983,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,PIAGGIO,VESPA LX 125 I-GET,10000000,11,1
984,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,ALL NEW R15 155 VVA,4900000,17,1
985,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,4000000,17,1
986,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,5700000,35,2
987,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2350000,35,2
988,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,1850000,35,2
989,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2500000,35,2
990,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,3500000,35,2
991,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,2600000,35,2
992,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2900000,35,1
993,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NVARIO 125 ESP CBS,4000000,35,2
994,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,N-MAX,4900000,35,2
995,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW MIO GT,1500000,29,1
996,CITATAH,CIPATAT,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,4200000,35,2
997,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NVARIO 125 ESP CBS,2600000,35,2
998,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2500000,35,2
999,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,LEXI,7052975,37,2
1000,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,8917586,26,2
1001,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,GENIO CBS,1969944,30,2
1002,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,PCX150,6639962,27,2
1003,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,1155789,31,2
1004,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT CW FI,1407772,31,2
1005,PASIRKALIKI,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,KAWASAKI,W 175 CAFE,8215074,25,1
1006,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,4250000,35,2
1007,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CBR 150 R,7250000,35,2
1008,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,4033680,35,1
1009,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT CW,3442390,35,2
1010,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3500000,35,2
1011,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4550000,35,1
1012,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,LEXI,6096480,25,2
1013,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,4729802,26,1
1014,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BARU,YAMAHA,WR 155 R,7800000,35,2
1015,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,NEW BEAT STREET ESP,1774294,30,1
1016,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,4100000,35,2
1017,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,MIO M3 AKS SSS,4804842,26,1
1018,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,SCOOPY ESP,4050000,35,2
1019,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3200000,29,2
1020,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4200000,35,2
1021,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,SCOOPY ESP,4600000,23,1
1022,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3100000,23,1
1023,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT CBS FI,2800000,23,1
1024,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2800000,35,2
1025,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,4300000,35,1
1026,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,4000000,29,1
1027,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2200000,33,2
1028,SARIWANGI,PARONGPONG,KAB. BANDUNG,MOTOR BARU,YAMAHA,NEW AEROX 155 C,4400000,35,2
1029,GANJARSARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU150 SCD2A,2600000,35,1
1030,WANGUNHARJA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW VIXION,4307413,25,1
1031,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,34,2
