NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
3328,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,ADV 150 CBS,10000000,33,1
3329,KERTAJAYA,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,33,1
3330,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,GEAR 125,3100000,35,1
3331,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA R - KR 150 L,3600000,23,0
3332,NEGLASARI,CIPONGKOR,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2900000,17,0
3333,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEWVARIOTECHNOCBS FI,3300000,17,0
3334,SELACAU,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,2500000,35,0
3335,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION ADV,2500000,17,0
3336,CIBITUNG,RONGGA,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,33,1
3337,CIJENUK,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 160 ABS,8000000,33,1
3338,CAMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2100000,29,0
3339,CISOMANG BARAT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,33,1
3340,PATARUMAN,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 ESPCBS ISS,4500000,33,1
3341,CIJENUK,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,HONDA,CBR 150 R ABS,13000000,29,1
3342,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,4500000,17,0
3343,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,4500000,17,0
3344,CINTAASIH,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,29,1
3345,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,2300000,23,0
3346,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5600000,35,0
3347,CIKALONG,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,YAMAHA,XMAX,10500000,17,0
3348,CITATAH,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION(KS),3300000,17,0
3349,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,CB 150 R STREETFIRE,10200000,11,0
3350,PAKUHAJI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,3700000,17,0
3351,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,SCOOPY ESP,6900000,11,0
3352,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,4200000,11,0
3353,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,4500000,33,1
3354,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY FASHION,6000000,11,0
3355,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3125000,17,0
3356,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,NEW PCX 160 CBS,5000000,29,1
3357,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3200000,11,0
3358,MEKARMUKTI,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33,1
3359,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO110 CBS ISS,2700000,17,0
3360,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,ALL NEW R15 155 VVA,7700000,23,0
3361,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,NINJA ZX 25 R ABS,25000000,23,1
3362,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,19300000,23,1
3363,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,KAWASAKI,W 175 SE BLACK STYLE,10000000,17,0
3364,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,10900000,11,1
3365,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,PIAGGIO,SPRINT I-GET 150,10000000,33,1
3366,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,4800000,33,1
3367,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,SUZUKI,NEX II,2800000,35,1
3368,MANDALASARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CW ESP,3000000,35,1
3369,GANJARSARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3900000,35,1
3370,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2700000,35,1
3371,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,SUZUKI,SATRIA FU 150,6300000,35,0
3372,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2800000,35,1
3373,MUKAPAYUNG,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,2100000,35,1
3374,GADOBANGKONG,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,ADV 150 ABS,10500000,35,1
3375,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,1800000,35,1
3376,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,NMAX ABS,3200000,35,1
