NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR
5740,SIRNARAJA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,8500000,35
5741,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2000000,35
5742,CILANGARI,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CBS FI,2500000,29
5743,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,1800000,35
5744,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,SCOOPY ESP,3000000,35
5745,GUNUNGHALU,GUNUNG HALU,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,2600000,35
5746,CINTAASIH,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2983563,29
5747,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,3017587,32
5748,SIRNARAJA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,9968594,28
5749,PANGAUBAN,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,2487403,32
5750,BARANANGSIANG,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,8127253,24
5751,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,NEW BEAT STREET ESP,1694311,30
5752,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,CRF 150 L,11876369,22
5753,CILANGARI,GUNUNG HALU,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW R15 155 VVA,12228018,31
5754,WANGUNJAYA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,1875354,34
5755,TENJOLAUT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 150 ABS,3365066,33
5756,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4656544,26
5757,CANGKORAH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,3322368,31
5758,CILANGARI,GUNUNG HALU,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3168314,25
5759,TAMANJAYA,GUNUNG HALU,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2466130,25
5760,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NVARIO 125 ESP CBS,2897327,29
5761,PATARUMAN,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3137405,27
5762,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,2234655,34
5763,CISOMANG BARAT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,6200000,35
5764,BATUJAJAR TIMUR,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5400000,32
5765,BOJONGMEKAR,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,4848522,27
5766,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,AEROX 155 VVA,3740075,32
5767,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION KS SE,4092940,23
5768,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,4700000,35
5769,SUMURBANDUNG,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,SUPRA GTR 150 SPORTY,4700000,35
5770,CIGUGUR GIRANG,PARONGPONG,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,5177784,34
5771,SUKAMANAH,RONGGA,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,2006160,35
5772,CIPTAGUMATI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3064600,23
5773,SITUWANGI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2238752,22
5774,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,35
5775,KARANGMEKAR,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,CB VERZA 150,4497447,27
5776,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5400000,35
5777,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3550000,35
5778,ISOLA,SUKASARI,KOTA BANDUNG,MOTOR BARU,YAMAHA,AEROX 155 VVA,4300000,35
5779,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3600000,35
5780,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,35
5781,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,9200000,23
5782,CIMAHI SELATAN,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2549013,30
5783,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2800000,35
5784,MEKARMUKTI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,7468086,29
5785,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,SONIC 150 R,2300000,35
5786,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,5000000,35
5787,NYENANG,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 G,7838479,27
5788,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,AEROX 155 VVA R,5300000,32
5789,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,SUPRA X 125 CW,1056620,23
5790,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,2983680,23
5791,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,5300000,23
5792,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7400000,21
5793,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,6800000,29
5794,CIPATIK,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,BYSON,1844160,23
5795,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,6800000,33
5796,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2006340,23
5797,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,35
5798,NYALINDUNG,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,2400000,35
5799,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW VARIO TECHNO FI,2700000,23
5800,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,4726780,23
5801,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI POP CW,1725820,35
5802,SUKAMANAH,RONGGA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW VIXION,6672800,17
5803,PUTERAN,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3600000,29
5804,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,LEXI,3600000,35
5805,SUKATANI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,1898300,23
5806,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,NEW MIO M3 CW,6753785,19
5807,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3020400,23
5808,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,2319840,23
5809,RANCA SENGGANG,SINDANGKERTA,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,4294980,23
5810,SADANGMEKAR,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6200000,32
5811,SINDANGJAYA,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,JUPITER MX KING 150,4300000,23
5812,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY SPORTY,4100000,22
5813,CILANGARI,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6200000,29
5814,KIDANGPANANJUNG,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,4100000,23
5815,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,35
5816,SITUWANGI,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3600000,33
5817,BOJONGKONENG,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW CBR 150R STANDAR,13600000,23
5818,MEKARMUKTI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,JUPITER MX KING 150,3500000,29
5819,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,5500000,35
5820,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5144736,26
5821,SUKAHAJI,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,5000000,35
5822,CIPATAT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION(KS),5200000,23
5823,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,8234019,21
5824,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,3148020,23
5825,SARIMUKTI,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW CBR 150R STANDAR,6635400,35
5826,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BARU,SUZUKI,GSX 150 BANDIT,8200000,35
5827,BOJONG,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,3800000,29
5828,SELACAU,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,23
5829,SIRNARAJA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5500000,32
5830,MARGALUYU,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY FASHION,4100000,33
5831,WARGASALUYU,GUNUNG HALU,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5100000,35
5832,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3800000,23
5833,CIPEUNDEUY,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,6500000,23
5834,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,1900000,23
5835,BAROS,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,33
5836,CIKADU,SINDANGKERTA,BANDUNG BARAT,MOTOR BARU,HONDA,CRF 150 L,12906091,20
5837,CIPATIK,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO110 CBS,3100000,17
5838,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT CBS FI,2700000,33
5839,JAMBUDIPA,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,3100000,23
5840,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,MX KING 150 GP MVSTR,3750000,17
5841,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,SCOOPY ESP,3000000,17
5842,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,4700000,29
5843,SUKAMANAH,RONGGA,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,17
5844,BAROS,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2900000,29
5845,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION(KS),2900000,23
5846,CIPEUNDEUY,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW MIO M3 CW,5200000,17
5847,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,6000000,33
5848,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,4400000,17
5849,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ESP PLUS,4100000,23
5850,SUKARESMI,RONGGA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW VIXION,5123023,23
5851,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,LEXI,3300000,35
5852,KARANGTANJUNG,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,5000000,23
5853,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,3400000,17
5854,GADOBANGKONG,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,MIO SOUL GT,2600000,17
5855,CISOMANG BARAT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,3700000,23
5856,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3400000,17
5857,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW VARIO CW FI,6800000,23
5858,PASIRHALANG,CISARUA,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,5000000,33
5859,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,3800000,17
5860,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,5400000,23
5861,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,35
5862,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,4700000,23
5863,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,GEAR 125,5200000,35
5864,CEMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2700000,23
5865,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW PCX 150 ABS,7800000,17
5866,RENDE,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,3200000,17
5867,PASIRKALIKI,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,6300000,17
5868,NANGGELENG,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5700000,23
5869,CIKALONG,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,33
5870,CANGKORAH,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,3500000,23
5871,NYALINDUNG,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2800000,17
5872,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 CBS ISS,2400000,17
5873,SINDANGKERTA,SINDANGKERTA,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA RR,5300000,23
5874,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,4100000,23
5875,TANJUNGJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3100000,17
5876,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,2400000,17
5877,CILANGARI,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3200000,23
5878,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2600000,29
5879,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,6900000,23
5880,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2800000,29
5881,JAYAMEKAR,PADALARANG,KAB. BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7600000,29
5882,MARGA LAKSANA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5100000,29
5883,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,10100000,23
5884,CIPTAHARJA,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,3100000,23
5885,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2700000,35
5886,CIHAMPELAS,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4000000,33
5887,CINENGAH,RONGGA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION(KS),2800000,23
5888,MEKARSARI,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5600000,21
5889,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,3700000,23
5890,MARGA LAKSANA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,33
5891,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CBR 150 R,4100000,29
5892,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,5300000,23
5893,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NMAX ABS,6000000,23
5894,MARGAJAYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,5900000,35
5895,MARGA LAKSANA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3000000,33
5896,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,MIO Z 125,4200000,17
5897,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,33
5898,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,LEXI,3100000,23
5899,PANGAUBAN,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,KLX 150,5700000,23
5900,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,7000000,35
5901,MANDALASARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3000000,33
5902,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,35
5903,MARGA LAKSANA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3500000,23
5904,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION KS SE,4925000,11
5905,WANGUNJAYA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,5100000,23
5906,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,BYSON,2200000,17
5907,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2200000,17
5908,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,1400000,35
5909,CIPEUNDEUY,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5300000,29
5910,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT CBS FI,2600000,33
5911,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 160 CBS,6000000,35
5912,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,SCOOPY ESP,7250000,17
5913,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW SUPRA X 125PGMFI,2600000,23
5914,CIRAWAMEKAR,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 ESPCBS ISS,3400000,17
5915,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,2600000,33
5916,SUKAHAJI,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,6600000,17
5917,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,29
5918,SUKAHAJI,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,7300000,11
5919,KANANGASARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2800000,33
5920,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,9400000,11
5921,GANJARSARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,6900000,23
5922,CIMERANG,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,5300000,29
5923,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,SCOOPY ESP,3300000,17
5924,PATARUMAN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,5725000,11
5925,SUKAHAJI,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5100000,29
5926,BOJONGKONENG,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,5500000,29
5927,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,YAMAHA,WR 155 R,5700000,35
5928,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,NEW PCX 160 CBS,14500000,23
5929,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,10000000,23
5930,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 125 ESP CBS,3300000,17
5931,CIKALONG,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3000000,17
5932,CAMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33
5933,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION(KS),3700000,35
5934,KERTAMULYA,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2700000,33
5935,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,4800000,17
5936,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,6300000,23
5937,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,1800000,23
5938,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,ADV 150 CBS,5600000,35
5939,KAYUAMBON,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,LEXI,5425000,17
5940,KARANGSARI,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,3200000,29
5941,BOJONGSALAM,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2200000,23
5942,MEKARSARI,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3700000,23
5943,BATUJAJAR TIMUR,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,33
5944,BATUJAJAR TIMUR,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3100000,23
5945,BAROS,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,3800000,35
5946,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3625000,23
5947,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,X - RIDE,2400000,23
5948,ISOLA,SUKASARI,KOTA BANDUNG,MOTOR BARU,YAMAHA,FINO FI SPORTY,3000000,33
