NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR
9799,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3200000,35
9800,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,GEAR 125,7500000,23
9801,NYENANG,CIPEUNDEUY,KAB. BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5200000,29
9802,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT CW FI,2000000,23
9803,CIJENUK,CIPONGKOR,BANDUNG BARAT,MOTOR BEKAS,HONDA,CB 150 R STREETFIRE,3700000,23
9804,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2400000,35
9805,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,ALL NEW NMAX 155,6626900,35
9806,SUKAHAJI,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,3498600,23
9807,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,3200000,23
9808,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,NEW AEROX 155 C,5300000,17
9809,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,3093310,29
9810,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2900000,35
9811,MEKARWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5100000,29
9812,RANCAPANGGUNG,CILILIN,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,4400000,35
9813,CILANGARI,GUNUNG HALU,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,6300000,35
9814,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW SUPRA X 125 CW,6705293,8
9815,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,6000000,35
9816,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CBR 150 R,4000000,23
9817,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,ALL NEW NMAX 155,7446100,23
9818,SIRNAGALIH,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,33
9819,SINGAJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5300000,29
9820,KERTAJAYA,PADALARANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,10000000,11
9821,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA 250,10100000,35
9822,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,CBR 150 R,1990400,17
9823,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,4374280,23
9824,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,N-MAX,5459920,23
9825,KARANGSARI,CIPONGKOR,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,3350000,11
9826,MANDALASARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,R15,3700000,35
9827,BAROS,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3900000,35
9828,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,SCOOPY ESP,2205400,12
9829,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,33
9830,MELONG,CIMAHI SELATAN,KOTA BANDUNG,MOTOR BARU,YAMAHA,NEW AEROX 155 C,9200000,29
9831,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,10000000,11
9832,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,KAWASAKI,W175 TR SE,11200000,27
9833,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2800000,35
9834,MUKAPAYUNG,CILILIN,KAB. BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 CBS ISS,6256060,23
9835,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,VIAR,CROSS X 150,3000000,35
9836,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,VIAR,KARYA 200 L,7000000,17
9837,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,35
9838,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,2900000,23
9839,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,XMAX,9500000,35
9840,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,W 175 CAFE,6900000,35
9841,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW PCX 160 CBS,6859360,23
9842,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,33
9843,PASIRKALIKI,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,5700000,17
9844,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI POP CW,2000000,35
9845,BONGAS,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,2100000,35
9846,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,N-MAX,3800000,23
9847,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2400000,23
9848,SARINAGEN,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,16500000,33
9849,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,N-MAX,5398893,30
9850,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,LEXI,3587701,30
9851,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,617336,34
9852,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,LEXI,3768654,28
9853,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,NEW BEAT STREET ESP,1001897,32
9854,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,SUZUKI,GSX R 150,2057820,35
9855,MANDALASARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 G,8000000,29
9856,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,LEXI,4400000,35
9857,CIBURUY,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,AEROX 155 VVA R,6533427,23
9858,MEKARMUKTI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,2004360,35
9859,GIRIASIH,BATUJAJAR,KAB. BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6200000,35
9860,PAKUHAJI,NGAMPRAH,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,12000000,35
9861,JAMBUDIPA,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6700000,32
9862,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NSCOOPY FI SPRT MTRO,4100000,23
9863,TANIMULYA,NGAMPRAH,KAB. BANDUNG,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,3800000,35
9864,MEKARSARI,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6200000,35
9865,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,AEROX 155 VVA R,4300000,35
9866,SUKATANI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,1983971,31
9867,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,2900000,35
9868,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7400000,33
9869,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 150 ABS,6000000,23
9870,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,6800000,21
9871,KARYAWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CBS,2100000,23
9872,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,CBR 150 RC,10976210,16
9873,CIBURUY,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,8200000,35
9874,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,5500000,29
9875,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT CBS FI,3800000,35
9876,CIJENUK,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,YAMAHA,NEW AEROX 155 C,5800000,21
9877,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,10700000,23
9878,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,KAWASAKI,NINJA 250,9700000,35
9879,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,4300000,33
9880,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 150 ABS,10000000,22
9881,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,NEW AEROX 155 C,7200000,33
